School Name,City and State,Type,Conference,Division
Saint Martin's University,"Lacey, Washington",Private,Great Northwest Athletic Conference,NCAA D2
Saint Mary's College of California,"Moraga, California",Private,West Coast Conference,NCAA D1
Saint Mary's University of Minnesota,"Winona, Minnesota",Private,Minnesota Intercollegiate Athletic Conference,NCAA D3
Saint Michael's College,"Colchester, Vermont",Private,Northeast-10 Conference,NCAA D2
Saint Peter's University,"Jersey City, New Jersey",Private,Metro Atlantic Athletic Conference,NCAA D1
Saint Vincent College – Pennsylvania,"Latrobe, Pennsylvania",Private,Presidents' Athletic Conference,NCAA D3
Saint Xavier University,"Chicago, Illinois",Private,Chicagoland Collegiate Athletic Conference,NAIA
Salem Community College,"Carneys Point, New Jersey",Public,Garden State Athletic Conference,JC
Salem State University,"Salem, Massachusetts",Public,Massachusetts State Collegiate Athletic Conference,NCAA D3
Salem University,"Salem, West Virginia",Private,Eastern Collegiate Athletic Conferenc,NCAA D2
Salisbury University,"Salisbury, Maryland",Public,Coast-to-Coast Athletic Conference,NCAA D3
Salt Lake Community College,"Salt Lake City, Utah",Public,Scenic West Athletic Conference,JC
Salve Regina University,"Newport, Rhode Island",Private,New England Women's & Men's Athletic Conference,NCAA D3
Sam Houston State University,"Huntsville, Texas",Public,Conference USA,NCAA D1
Samford University,"Birmingham, Alabama",Private,Southern Conference,NCAA D1
San Bernardino Valley College,"San Bernardino, California",Public,Inland Empire Athletic Conference,JC
San Diego City College,"San Diego, California",Public,Pacific Coast Conference,JC
San Diego Mesa College,"San Diego, California",Public,Pacific Coast Athletic Conference,JC
San Diego State University,"San Diego, California",Public,Mountain West Conference,NCAA D1
San Francisco State University,"San Francisco, California",Public,California Collegiate Athletic Association,NCAA D2
San Jacinto College,"Pasadena, Texas",Public,Region 14,JC
San Joaquin Delta College,"Stockton, California",Public,Big 8 Conference,JC
San Jose State University,"San Jose, California",Public,Mountain West Conference,NCAA D1
Santa Barbara City College,"Santa Barbara, California",Public,Western States Conference,JC
Santa Clara University,"Santa Clara, California",Private,West Coast Conference,NCAA D1
Santa Fe College,"Gainesville, Florida",Public,Mid-Florida Conference,JC
Santa Rosa Junior College,"Santa Rosa, California",Public,Big 8 Conference,JC
Sauk Valley Community College,"Dixon, Illinois",Public,Region 4,JC
Savannah State University,"Savannah, Georgia",Public,Southern Intercollegiate Athletic Conference,NCAA D2
Schoolcraft College,"Livonia, Michigan",Public,MCCAA,JC
Schreiner University,"Kerrville, Texas",Private,Southern Collegiate Athletic Conference,NCAA D3
Scottsdale Community College,"Scottsdale, Arizona",Public,ACCAC,JC
Seattle University,"Seattle, Washington",Private,Western Athletic Conference,NCAA D1
Seminole State College,"Seminole, Oklahoma",Public,Region 2,JC
Seminole State College of Florida,"Sanford, Florida",Public,Mid-Florida Conference,JC
Seton Hall University,"South Orange, New Jersey",Private,Big East Conference,NCAA D1
Seton Hill University,"Greensburg, Pennsylvania",Private,Pennsylvania State Athletic Conference,NCAA D2
Sewanee – The University of the South,"Sewanee, Tennessee",Private,Southern Athletic Association,NCAA D3
Seward County Community College,"Liberal, Kansas",Public,KJCCC,JC
Shasta College,"Redding, California",Public,Golden Valley,JC
Shawnee Community College,"Ullin, Illinois",Public,Great Rivers Athletic Conference,JC
Shawnee State University,"Portsmouth, Ohio",Public,River States Conference,NAIA
Shelton State Community College,"Tuscaloosa, Alabama",Public,Alabama Community College Conference,JC
Shenandoah University,"Winchester, Virginia",Private,Old Dominion Athletic Conference,NCAA D3
Shepherd University,"Shepherdstown, West Virginia",Public,Mountain East Conference,NCAA D2
Shippensburg University of Pennsylvania,"Shippensburg, Pennsylvania",Public,Pennsylvania State Athletic Conference,NCAA D2
Shoreline Community College,"Shoreline, Washington",Public,Northwest Athletic Conference,JC
Shorter University,"Rome, Georgia",Private,Conference Carolinas,NCAA D2
Siena College,"Loudonville, New York",Private,Metro Atlantic Athletic Conference,NCAA D1
Siena Heights University,"Adrian, Michigan",Private,Wolverine-Hoosier Athletic Conference,NAIA
Simpson College,"Indianola, Iowa",Private,American Rivers Conference,NCAA D3
Simpson University,"Redding, California",Private,California Pacific Conference,NAIA
Skagit Valley College,"Mount Vernon, Washington",Public,Northwest Athletic Conference,JC
Skidmore College,"Saratoga Springs, New York",Private,Liberty League,NCAA D3
Skyline College – San Bruno,"San Bruno, California",Public,Coast Conference,JC
Slippery Rock University,"Slippery Rock, Pennsylvania",Public,Pennsylvania State Athletic Conference,NCAA D2
Snead State Community College,"Boaz, Alabama",Public,Alabama Community College Conference,JC
Sonoma State University,"Rohnert Park, California",Public,California Collegiate Athletic Association,NCAA D2
South Arkansas Community College,"El Dorado, Arkansas",Public,Region 2,JC
South Dakota State University,"Brookings, South Dakota",Public,The Summit League,NCAA D1
South Florida State College,"Avon Park, Florida",Public,Sun-Lakes Conference,JC
South Georgia State College,"Douglas, Georgia",Public,Georgia Collegiate Athletic Association,JC
South Mountain Community College,"Phoenix, Arizona",Public,ACCAC,JC
South Suburban College,"South Holland, Illinois",Public,Region 4,JC
Southeast Community College – Lincoln,"Lincoln, Nebraska",Public,Region 9,JC
Southeast Missouri State University,"Cape Girardeau, Missouri",Public,Ohio Valley Conference,NCAA D1
Southeastern Community College – Iowa,"West Burlington, Iowa",Public,ICCAC,JC
Southeastern Community College – North Carolina,"Whiteville, North Carolina",Public,REG10N,JC
Southeastern Illinois College,"Harrisburg, Illinois",Public,Great Rivers Athletic Conference,JC
Southeastern Louisiana University,"Hammond, Louisiana",Public,Southland Conference,NCAA D1
Southeastern Oklahoma State University,"Durant, Oklahoma",Public,Great American Conference,NCAA D2
Southeastern University,"Lakeland, Florida",Private,Sun Conference,NAIA
Southern Arkansas University,"Magnolia, Arkansas",Public,Great American Conference,NCAA D2
Southern Arkansas University Tech,"Camden, Arkansas",Public,Region 2,JC
Southern Connecticut State University,"New Haven, Connecticut",Public,Northeast-10 Conference,NCAA D2
Southern Illinois University Carbondale,"Carbondale, Illinois",Public,Missouri Valley Conference,NCAA D1
Southern Illinois University Edwardsville,"Edwardsville, Illinois",Public,Ohio Valley Conference,NCAA D1
Southern Maine Community College,"South Portland, Maine",Public,Yankee Small College Conference,JC
Southern Nazarene University,"Bethany, Oklahoma",Private,Great American Conference,NCAA D2
Southern New Hampshire University,"Manchester, New Hampshire",Private,Northeast-10 Conference,NCAA D2
Southern Union State Community College,"Wadley, Alabama",Public,Alabama Community College Conference,JC
Southern University & A&M College,"Baton Rouge, Louisiana",Public,Southwestern Athletic Conference,NCAA D1
Southern Virginia University,"Buena Vista, Virginia",Private,USA South Athletic Conference,NCAA D3
Southern Wesleyan University,"Central, South Carolina",Private,Conference Carolinas,NCAA D2
Southwest Baptist University,"Bolivar, Missouri",Private,Great Lakes Valley Conference,NCAA D2
Southwest Minnesota State University,"Marshall, Minnesota",Public,Northern Sun Intercollegiate Conference,NCAA D2
Southwest Mississippi Community College,"Summit, Mississippi",Public,MACCC,JC
Southwest Tennessee Community College,"Memphis, Tennessee",Public,TCCAA,JC
Southwest Virginia Community College,"Cedar Bluff, Virginia",Public,REG10N,JC
Southwestern Christian University,"Bethany, Oklahoma",Private,Sooner Athletic Conference,NAIA
Southwestern College – California,"Chula Vista, California",Public,Pacific Coast Conference,JC
Southwestern College – Kansas,"Winfield, Kansas",Private,Kansas Collegiate Athletic Conference,NAIA
Southwestern Community College,"Creston, Iowa",Public,ICCAC,JC
Southwestern Illinois College,"Belleville, Illinois",Public,Great Rivers Athletic Conference,JC
Southwestern Oklahoma State University,"Weatherford, Oklahoma",Public,Great American Conference,NCAA D2
Southwestern Oregon Community College,"Coos Bay, Oregon",Public,Northwest Athletic Conference,JC
Southwestern University,"Georgetown, Texas",Private,Southern Athletic Association,NCAA D3
Spalding University,"Louisville, Kentucky",Private,St. Louis Intercollegiate Athletic Conference,NCAA D3
Spartanburg Methodist College,"Spartanburg, South Carolina",Private,Continental Athletic Conference,NAIA
Spokane Falls Community College,"Spokane, Washington",Public,Northwest Athletic Conference,JC
Spoon River College,"Canton, Illinois",Public,Midwest Conference,JC
Spring Arbor University,"Spring Arbor, Michigan",Private,Crossroads League,NAIA
Spring Hill College,"Mobile, Alabama",Private,Southern Intercollegiate Athletic Conference,NCAA D2
Springfield College,"Springfield, Massachusetts",Private,New England Women's & Men's Athletic Conference,NCAA D3
St. Ambrose University,"Davenport, Iowa",Private,Chicagoland Collegiate Athletic Conference,NAIA
St. Andrews University,"Laurinburg, North Carolina",Private,Appalachian Athletic Conference,NAIA
St. Bonaventure University,"Saint Bonaventure, New York",Private,Atlantic 10 Conference,NCAA D1
St. Charles Community College,"Cottleville, Missouri",Public,MCCAC,JC
St. Clair County Community College,"Port Huron, Michigan",Public,MCCAA,JC
St. Cloud State University,"Saint Cloud, Minnesota",Public,Northern Sun Intercollegiate Conference,NCAA D2
St. Cloud Technical & Community College,"Saint Cloud, Minnesota",Public,MCAC,JC
St. Edward's University,"Austin, Texas",Private,Lone Star Conference,NCAA D2
St. John Fisher College,"Rochester, New York",Private,Empire 8 Athletic Conference,NCAA D3
St. John's University – New York,"Queens, New York",Private,Big East Conference,NCAA D1
St. Johns River State College,"Palatka, Florida",Public,Sun-Lakes Conference,JC
St. Joseph's University – New York,"Patchogue, New York",Private,Skyline Conference,NCAA D3
St. Lawrence University,"Canton, New York",Private,Liberty League,NCAA D3
St. Louis Community College – Meramec,"Kirkwood, Missouri",Public,MCCAC,JC
St. Mary's College of Maryland,"St. Mary's City, Maryland",Public,United East Conference,NCAA D3
St. Mary's University – Texas,"San Antonio, Texas",Private,Lone Star Conference,NCAA D2
St. Norbert College,"De Pere, Wisconsin",Private,Northern Athletics Collegiate Conference,NCAA D3
St. Olaf College,"Northfield, Minnesota",Private,Minnesota Intercollegiate Athletic Conference,NCAA D3
St. Petersburg College,"Clearwater, Florida",Public,Suncoast Conference,JC
St. Thomas Aquinas College,"Sparkill, New York",Private,East Coast Conference,NCAA D2
St. Thomas University – Florida,"Miami Gardens, Florida",Private,Sun Conference,NAIA
Stanford University,"Stanford, California",Private,Atlantic Coast Conference,NCAA D1
State College of Florida – Manatee-Sarasota,"Bradenton, Florida",Public,Suncoast Conference,JC
State Fair Community College,"Sedalia, Missouri",Public,MCCAC,JC
Stephen F Austin State University,"Nacogdoches, Texas",Public,Southland Conference,NCAA D1
Sterling College – Kansas,"Sterling, Kansas",Private,Kansas Collegiate Athletic Conference,NAIA
Stetson University,"Deland, Florida",Private,Atlantic Sun Conference,NCAA D1
Stevens Institute of Technology,"Hoboken, New Jersey",Private,Middle Atlantic Conferences,NCAA D3
Stevenson University,"Stevenson, Maryland",Private,Middle Atlantic Conferences,NCAA D3
Stillman College,"Tuscaloosa, Alabama",Private,HBCU Athletic Conference,NAIA
Stockton University,"Galloway, New Jersey",Public,New Jersey Athletic Conference,NCAA D3
Stonehill College,"Easton, Massachusetts",Private,Northeast Conference,NCAA D1
Suffolk County Community College,"Selden, New York",Public,Region 15,JC
Suffolk University,"Boston, Massachusetts",Private,Commonwealth Coast Conference,NCAA D3
Sul Ross State University,"Alpine, Texas",Public,Lone Star Conference,NCAA D3
SUNY Adirondack Community College,"Queensbury, New York",Public,Mountain Valley Collegiate Conference,JC
SUNY Binghamton University,"Vestal, New York",Public,America East Conference,NCAA D1
SUNY Broome Community College,"Binghamton, New York",Public,Mid-State Athletic Conference,JC
SUNY Canton,"Canton, New York",Public,North Atlantic Conference,NCAA D3
SUNY Cayuga Community College,"Auburn, New York",Public,Mid-State Athletic Conference,JC
SUNY College at Brockport,"Brockport, New York",Public,Empire 8 Athletic Conference,NCAA D3
SUNY College at Old Westbury,"Old Westbury, New York",Public,Skyline Conference,NCAA D3
SUNY College at Oneonta,"Oneonta, New York",Public,State University of New York Athletic Conference,NCAA D3
SUNY College of Agriculture & Technology at Cobleskill,"Cobleskill, New York",Public,North Atlantic Conference,NCAA D3
SUNY Cortland,"Cortland, New York",Public,State University of New York Athletic Conference,NCAA D3
SUNY Farmingdale State College,"Farmingdale, New York",Public,Skyline Conference,NCAA D3
SUNY Fredonia,"Fredonia, New York",Public,State University of New York Athletic Conference,NCAA D3
SUNY Genesee Community College,"Batavia, New York",Public,Region 3,JC
SUNY Herkimer County Community College,"Herkimer, New York",Public,Mountain Valley Collegiate Conference,JC
SUNY Hudson Valley Community College,"Troy, New York",Public,Mountain Valley Collegiate Conference,JC
SUNY Jamestown Community College,"Jamestown, New York",Public,Region 3,JC
SUNY Maritime College,"Throggs Neck, New York",Public,Eastern College Athletic Conference,NCAA D3
SUNY Mohawk Valley Community College,"Utica, New York",Public,Region 3,JC
SUNY Monroe Community College,"Rochester, New York",Public,Western New York Athletic Conference,JC
SUNY New Paltz,"New Paltz, New York",Public,State University of New York Athletic Conference,NCAA D3
SUNY Niagara County Community College,"Sanborn, New York",Public,Western New York Athletic Conference,JC
SUNY Orange County Community College,"Middletown, New York",Public,Mid Hudson Conference,JC
SUNY Oswego,"Oswego, New York",Public,State University of New York Athletic Conference,NCAA D3
SUNY Plattsburgh,"Plattsburgh, New York",Public,State University of New York Athletic Conference,NCAA D3
SUNY Polytechnic Institute,"Utica, New York",Public,North Atlantic Conference,NCAA D3
SUNY Purchase College,"Purchase, New York",Public,Skyline Conference,NCAA D3
SUNY Rockland Community College,"Suffern, New York",Public,Mid Hudson Conference,JC
SUNY Stony Brook University,"Stony Brook, New York",Public,Colonial Athletic Association,NCAA D1
SUNY Sullivan County Community College,"Loch Sheldrake, New York",Public,Mid Hudson Conference,JC
SUNY Tompkins Cortland Community College,"Dryden, New York",Public,Mid-State Athletic Conference,JC
SUNY Ulster County Community College,"Stone Ridge, New York",Public,Mid Hudson Conference,JC
SUNY University at Albany,"Albany, New York",Public,American East Conference,NCAA D1
SUNY Westchester Community College,"Valhalla, New York",Public,Mid Hudson Conference,JC
Surry Community College,"Dobson, North Carolina",Public,REG10N,JC
Susquehanna University,"Selinsgrove, Pennsylvania",Private,Landmark Conference,NCAA D3
Sussex County Community College,"Newton, New Jersey",Public,Region 19,JC
Swarthmore College,"Swarthmore, Pennsylvania",Private,Centennial Conference,NCAA D3
Tabor College,"Hillsboro, Kansas",Private,Kansas Collegiate Athletic Conference,NAIA
Tacoma Community College,"Tacoma, Washington",Public,Northwest Athletic Conference,JC
Taft College,"Taft, California",Public,Central Valley Conference,JC
Talladega College,"Talladega, Alabama",Private,Continental Athletic Conference,NAIA
Tallahassee Community College,"Tallahassee, Florida",Public,Panhandle Conference,JC
Tarleton State University,"Stephenville, Texas",Public,Western Athletic Conference,NCAA D1
Taylor University,"Upland, Indiana",Private,Crossroads League,NAIA
Temple College,"Temple, Texas",Public,NTJCAC,JC
Tennessee Technological University,"Cookeville, Tennessee",Public,Ohio Valley Conference,NCAA D1
Tennessee Wesleyan University,"Athens, Tennessee",Private,Appalachian Athletic Conference,NAIA
Terra State Community College,"Fremont, Ohio",Public,OCCAC,JC
Texas A&M International University,"Laredo, Texas",Public,Lone Star Conference,NCAA D2
Texas A&M University,"College Station, Texas",Public,Southeastern Conference,NCAA D1
Texas A&M University – Corpus Christi,"Corpus Christi, Texas",Public,Southland Conference,NCAA D1
Texas A&M University – Kingsville,"Kingsville, Texas",Public,Lone Star Conference,NCAA D2
Texas A&M University – Texarkana,"Texarkana, Texas",Public,Red River Athletic Conference,NAIA
Texas Christian University,"Fort Worth, Texas",Private,Big 12 Conference,NCAA D1
Texas College,"Tyler, Texas",Private,Red River Athletic Conference,NAIA
Texas Lutheran University,"Seguin, Texas",Private,Southern Collegiate Athletic Conference,NCAA D3
Texas Southern University,"Houston, Texas",Public,Southwestern Athletic Conference,NCAA D1
Texas State University,"San Marcos, Texas",Public,Sun Belt Conference,NCAA D1
Texas Tech University,"Lubbock, Texas",Public,Big 12 Conference,NCAA D1
Texas Wesleyan University,"Fort Worth, Texas",Private,Sooner Athletic Conference,NAIA
The Citadel,"Charleston, South Carolina",Public,Southern Conference,NCAA D1
The College of Idaho,"Caldwell, Idaho",Private,Cascade Collegiate Conference,NAIA
The College of New Jersey,"Ewing, New Jersey",Public,New Jersey Athletic Conference,NCAA D3
The College of St. Scholastica,"Duluth, Minnesota",Private,Minnesota Intercollegiate Athletic Conference,NCAA D3
The Community College of Baltimore County – Catonsville Campus,"Baltimore, Maryland",Public,MD JUCO,JC
The Community College of Baltimore County – Dundalk Campus,"Baltimore, Maryland",Public,MD JUCO,JC
The Community College of Baltimore County – Essex Campus,"Rosedale, Maryland",Public,MD JUCO,JC
The Master's University,"Santa Clarita, California",Private,Great Southwest Athletic Conference,NAIA
The University of Virginia's College at Wise,"Wise, Virginia",Public,South Atlantic Conference,NCAA D2
Thiel College,"Greenville, Pennsylvania",Private,Presidents' Athletic Conference,NCAA D3
Thomas College,"Waterville, Maine",Private,North Atlantic Conference,NCAA D3
Thomas Jefferson University (Formerly Philadelphia University),"Philadelphia, Pennsylvania",Private,Central Atlantic Collegiate Conference,NCAA D2
Thomas More University,"Crestview Hills, Kentucky",Private,Great Midwest Athletic Conference,NCAA D2
Thomas University,"Thomasville, Georgia",Private,Southern States Athletic Conference,NAIA
Three Rivers College,"Poplar Bluff, Missouri",Public,MCCAC,JC
Tiffin University,"Tiffin, Ohio",Private,Great Midwest Athletic Conference,NCAA D2
Tougaloo College,"Tougaloo, Mississippi",Private,HBCU Athletic Conference,NAIA
Towson University,"Towson, Maryland",Public,Colonial Athletic Association,NCAA D1
Transylvania University,"Lexington, Kentucky",Private,Heartland Collegiate Athletic Conference,NCAA D3
Treasure Valley Community College,"Ontario, Oregon",Public,Northwest Athletic Conference,JC
Trevecca Nazarene University,"Nashville, Tennessee",Private,Gulf South Conference,NCAA D2
Trine University,"Angola, Indiana",Private,Michigan Intercollegiate Athletic Association,NCAA D3
Trinidad State College,"Trinidad, Colorado",Public,Region 9,JC
Trinity Christian College,"Palos Heights, Illinois",Private,Chicagoland Collegiate Athletic Conference,NAIA
Trinity College – Connecticut,"Hartford, Connecticut",Private,New England Small College Athletic Conference,NCAA D3
Trinity University – Texas,"San Antonio, Texas",Private,Southern Athletic Association,NCAA D3
Triton College,"River Grove, Illinois",Public,Region 4,JC
Troy University,"Troy, Alabama",Public,Sun Belt Conference,NCAA D1
Truett-McConnell University,"Cleveland, Georgia",Private,Appalachian Athletic Conference,NAIA
Truman State University,"Kirksville, Missouri",Public,Great Lakes Valley Conference,NCAA D2
Tufts University,"Medford, Massachusetts",Private,New England Small College Athletic Conference,NCAA D3
Tulane University,"New Orleans, Louisiana",Private,American Athletic Conference,NCAA D1
Tusculum University,"Greeneville, Tennessee",Private,South Atlantic Conference,NCAA D2
Tuskegee University,"Tuskegee, Alabama",Private,Southern Intercollegiate Athletic Conference,NCAA D2
Tyler Junior College,"Tyler, Texas",Public,Region 24,JC
Umpqua Community College,"Roseburg, Oregon",Public,Northwest Athletic Conference,JC
Union College – New York,"Schenectady, New York",Private,Liberty League,NCAA D3
Union Commonwealth University,"Barbourville, Kentucky",Private,Appalachian Athletic Conference,NAIA
Union County College,"Cranford, New Jersey",Public,Garden State Athletic Conference,JC
Union University,"Jackson, Tennessee",Private,Gulf South Conference,NCAA D2
United States Air Force Academy,"Usaf Academy, Colorado",Public,Mountain West Conference,NCAA D1
United States Coast Guard Academy,"New London, Connecticut",Public,New England Women's & Men's Athletic Conference,NCAA D3
United States Merchant Marine Academy,"Kings Point, New York",Public,New England Women's & Men's Athletic Conference,NCAA D3
United States Military Academy,"West Point, New York",Public,American Athletic Conference,NCAA D1
United States Naval Academy,"Annapolis, Maryland",Public,American Athletic Conference,NCAA D1
University of Akron,"Akron, Ohio",Public,Mid-American Conference,NCAA D1
University of Alabama,"Tuscaloosa, Alabama",Public,Southeastern Conference,NCAA D1
University of Alabama – Birmingham,"Birmingham, Alabama",Public,American Athletic Conference,NCAA D1
University of Alabama – Huntsville,"Huntsville, Alabama",Public,Gulf South Conference,NCAA D2
University of Arizona,"Tucson, Arizona",Public,Big 12 Conference,NCAA D1
University of Arkansas,"Fayetteville, Arkansas",Public,Southeastern Conference,NCAA D1
University of Arkansas – Fort Smith,"Fort Smith, Arkansas",Public,Mid-America Intercollegiate Athletics Association,NCAA D2
University of Arkansas – Rich Mountain,"Mena, Arkansas",Public,Region 2,JC
University of Arkansas at Little Rock,"Little Rock, Arkansas",Public,Ohio Valley Conference,NCAA D1
University of Arkansas at Monticello,"Monticello, Arkansas",Public,Great American Conference,NCAA D2
University of Arkansas at Pine Bluff,"Pine Bluff, Arkansas",Public,Southwestern Athletic Conference,NCAA D1
University of Bridgeport,"Bridgeport, Connecticut",Private,Central Atlantic Collegiate Conference,NCAA D2
University of California – Berkeley,"Berkeley, California",Public,Atlantic Coast Conference,NCAA D1
University of California – Davis,"Davis, California",Public,Big Sky Conference,NCAA D1
University of California – Irvine,"Irvine, California",Public,Big West Conference,NCAA D1
University of California – Los Angeles – UCLA,"Los Angeles, California",Public,Big Ten,NCAA D1
University of California – Riverside,"Riverside, California",Public,Big West Conference,NCAA D1
University of California – San Diego,"La Jolla, California",Public,Big West Conference,NCAA D1
University of California – Santa Barbara,"Santa Barbara, California",Public,Big West Conference,NCAA D1
University of Central Arkansas,"Conway, Arkansas",Public,Atlantic Sun Conference,NCAA D1
University of Central Florida,"Orlando, Florida",Public,Big 12 Conference,NCAA D1
University of Central Missouri,"Warrensburg, Missouri",Public,Mid-America Intercollegiate Athletics Association,NCAA D2
University of Central Oklahoma,"Edmond, Oklahoma",Public,Mid-America Intercollegiate Athletics Association,NCAA D2
University of Charleston,"Charleston, West Virginia",Private,Mountain East Conference,NCAA D2
University of Chicago,"Chicago, Illinois",Private,Midwest Conference,NCAA D3
University of Cincinnati,"Cincinnati, Ohio",Public,Big 12 Conference,NCAA D1
University of Colorado – Colorado Springs,"Colorado Springs, Colorado",Public,Rocky Mountain Athletic Conference,NCAA D2
University of Connecticut,"Storrs, Connecticut",Public,Big East Conference,NCAA D1
University of Connecticut – Avery Point,"Groton, Connecticut",Public,Region 21,JC
University of Dallas,"Irving, Texas",Private,Southern Collegiate Athletic Conference,NCAA D3
University of Dayton,"Dayton, Ohio",Private,Atlantic 10 Conference,NCAA D1
University of Delaware,"Newark, Delaware",Public,Conference USA,NCAA D1
University of Dubuque,"Dubuque, Iowa",Private,American Rivers Conference,NCAA D3
University of Evansville,"Evansville, Indiana",Private,Missouri Valley Conference,NCAA D1
University of Findlay,"Findlay, Ohio",Private,Great Midwest Athletic Conference,NCAA D2
University of Florida,"Gainesville, Florida",Public,Southeastern Conference,NCAA D1
University of Georgia,"Athens, Georgia",Public,Southeastern Conference,NCAA D1
University of Hartford,"West Hartford, Connecticut",Private,Commonwealth Coast Conference,NCAA D3
University of Hawaii at Hilo,"Hilo, Hawaii",Public,Pacific West Conference,NCAA D2
University of Hawaii at Manoa,"Honolulu, Hawaii",Public,Mountain West Conference,NCAA D1
University of Health Sciences & Pharmacy in St. Louis (UHSP),"Saint Louis, Missouri",Private,American Midwest Conference,NAIA
University of Houston,"Houston, Texas",Public,Big 12 Conference,NCAA D1
University of Houston – Victoria,"Victoria, Texas",Public,Red River Athletic Conference,NAIA
University of Illinois,"Urbana, Illinois",Public,Big Ten,NCAA D1
University of Illinois at Chicago,"Chicago, Illinois",Public,Missouri Valley Conference,NCAA D1
University of Illinois at Springfield,"Springfield, Illinois",Public,Great Lakes Valley Conference,NCAA D2
University of Indianapolis,"Indianapolis, Indiana",Private,Great Lakes Valley Conference,NCAA D2
University of Iowa,"Iowa City, Iowa",Public,Big Ten,NCAA D1
University of Jamestown,"Jamestown, North Dakota",Private,North Star Athletic Association,NCAA D2
University of Kansas,"Lawrence, Kansas",Public,Big 12 Conference,NCAA D1
University of Kentucky,"Lexington, Kentucky",Public,Southeastern Conference,NCAA D1
University of La Verne,"La Verne, California",Private,Southern California Intercollegiate Athletic Conference,NCAA D3
University of Louisiana,"Lafayette, Louisiana",Public,Sun Belt Conference,NCAA D1
University of Louisiana – Monroe,"Monroe, Louisiana",Public,Sun Belt Conference,NCAA D1
University of Louisville,"Louisville, Kentucky",Public,Atlantic Coast Conference,NCAA D1
University of Lynchburg,"Lynchburg, Virginia",Private,Old Dominion Athletic Conference,NCAA D3
University of Maine,"Orono, Maine",Public,American East Conference,NCAA D1
University of Maine at Farmington,"Farmington, Maine",Public,North Atlantic Conference,NCAA D3
University of Maine at Presque Isle,"Presque Isle, Maine",Public,North Atlantic Conference,NCAA D3
University of Mary,"Bismarck, North Dakota",Private,Northern Sun Intercollegiate Conference,NCAA D2
University of Mary Hardin-Baylor,"Belton, Texas",Private,American Southwest Conference,NCAA D3
University of Mary Washington,"Fredericksburg, Virginia",Public,Coast-to-Coast Athletic Conference,NCAA D3
University of Maryland,"College Park, Maryland",Public,Big Ten,NCAA D1
University of Maryland – Baltimore County,"Baltimore, Maryland",Public,America East Conference,NCAA D1
University of Maryland Eastern Shore,"Princess Anne, Maryland",Public,Mid-Eastern Athletic Conference,NCAA D1
University of Massachusetts – Amherst,"Amherst, Massachusetts",Public,Mid-america Conference,NCAA D1
University of Massachusetts – Boston,"Boston, Massachusetts",Public,Little East Conference,NCAA D3
University of Massachusetts – Dartmouth,"Dartmouth, Massachusetts",Public,Little East Conference,NCAA D3
University of Massachusetts – Lowell,"Lowell, Massachusetts",Public,America East Conference,NCAA D1
University of Memphis,"Memphis, Tennessee",Public,American Athletic Conference,NCAA D1
University of Miami,"Coral Gables, Florida",Private,Atlantic Coast Conference,NCAA D1
University of Michigan,"Ann Arbor, Michigan",Public,Big Ten,NCAA D1
University of Michigan – Dearborn,"Dearborn, Michigan",Public,Wolverine-Hoosier Athletic Conference,NAIA
University of Minnesota,"Minneapolis, Minnesota",Public,Big Ten,NCAA D1
University of Minnesota – Crookston,"Crookston, Minnesota",Public,Northern Sun Intercollegiate Conference,NCAA D2
University of Minnesota – Duluth,"Duluth, Minnesota",Public,Northern Sun Intercollegiate Conference,NCAA D2
University of Minnesota – Morris,"Morris, Minnesota",Public,Upper Midwest Athletic Conference,NCAA D3
University of Mississippi,"University, Mississippi",Public,Southeastern Conference,NCAA D1
University of Missouri,"Columbia, Missouri",Public,Southeastern Conference,NCAA D1
University of Missouri – St. Louis,"Saint Louis, Missouri",Public,Great Lakes Valley Conference,NCAA D2
University of Mobile,"Mobile, Alabama",Private,Southern States Athletic Conference,NAIA
University of Montevallo,"Montevallo, Alabama",Public,Peach Belt Conference,NCAA D2
University of Mount Olive,"Mount Olive, North Carolina",Private,Conference Carolinas,NCAA D2
University of Mount Saint Vincent,"Bronx, New York",Private,Skyline Conference,NCAA D3
University of Mount Union,"Alliance, Ohio",Private,Ohio Athletic Conference,NCAA D3
University of Nebraska,"Lincoln, Nebraska",Public,Big Ten,NCAA D1
University of Nebraska at Omaha,"Omaha, Nebraska",Public,The Summit League,NCAA D1
University of Nevada – Las Vegas,"Las Vegas, Nevada",Public,Mountain West Conference,NCAA D1
University of Nevada – Reno,"Reno, Nevada",Public,Mountain West Conference,NCAA D1
University of New Haven,"West Haven, Connecticut",Private,Northeast Conference,NCAA D1
University of New Mexico,"Albuquerque, New Mexico",Public,Mountain West Conference,NCAA D1
University of New Orleans,"New Orleans, Louisiana",Public,Southland Conference,NCAA D1
University of North Alabama,"Florence, Alabama",Public,Atlantic Sun Conference,NCAA D1
University of North Carolina – Greensboro,"Greensboro, North Carolina",Public,Southern Conference,NCAA D1
University of North Carolina – Wilmington,"Wilmington, North Carolina",Public,Colonial Athletic Association,NCAA D1
University of North Carolina Asheville,"Asheville, North Carolina",Public,Big South Conference,NCAA D1
University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Public,Atlantic Coast Conference,NCAA D1
University of North Carolina at Charlotte,"Charlotte, North Carolina",Public,American Athletic Conference,NCAA D1
