School Name,City and State,Type,Conference,Division
Chatham University,"Pittsburgh, Pennsylvania",Private,Presidents' Athletic Conference,NCAA D3
Chattahoochee Valley Community College,"Phenix City, Alabama",Public,Alabama Community College Conference,JC
Chattanooga State Community College,"Chattanooga, Tennessee",Public,TCCAA,JC
Chemeketa Community College,"Salem, Oregon",Public,Northwest Athletic Conference,JC
Chesapeake College,"Wye Mills, Maryland",Public,MD JUCO,JC
Chestnut Hill College,"Philadelphia, Pennsylvania",Private,Central Atlantic Collegiate Conference,NCAA D2
Chipola College,"Marianna, Florida",Public,Panhandle Conference,JC
Chowan University,"Murfreesboro, North Carolina",Private,Central Intercollegiate Athletic Association,NCAA D2
Christian Brothers University,"Memphis, Tennessee",Private,Gulf South Conference,NCAA D2
Christopher Newport University,"Newport News, Virginia",Public,Coast-to-Coast Athletic Conference,NCAA D3
Cisco College,"Cisco, Texas",Public,SWJCFC,JC
Citrus College,"Glendora, California",Public,Western States Conference,JC
City Colleges of Chicago – Kennedy-King College,"Chicago, Illinois",Public,Region 4,JC
City Colleges of Chicago – Olive-Harvey College,"Chicago, Illinois",Public,Region 4,JC
Clackamas Community College,"Oregon City, Oregon",Public,Northwest Athletic Conference,JC
Claflin University,"Orangeburg, South Carolina",Private,Southern Intercollegiate Athletic Conference,NCAA D2
Claremont-Mudd-Scripps Colleges,"Claremont, California",Private,Southern California Intercollegiate Athletic Conference,NCAA D3
Clarendon College,"Clarendon, Texas",Public,WJCAC,JC
Clarion University of Pennsylvania,"Clarion, Pennsylvania",Public,Pennsylvania State Athletic Conference,NCAA D2
Clark Atlanta University,"Atlanta, Georgia",Private,Southern Intercollegiate Athletic Conference,NCAA D2
Clark State College,"Springfield, Ohio",Public,OCCAC,JC
Clark University,"Worcester, Massachusetts",Private,New England Women's & Men's Athletic Conference,NCAA D3
Clarke University,"Dubuque, Iowa",Private,Heart of America Athletic Conference,NAIA
Clarks Summit University,"Clarks Summit, Pennsylvania",Private,United East Conference,NCAA D3
Clarkson University,"Potsdam, New York",Private,Liberty League,NCAA D3
Cleary University,"Howell, Michigan",Private,Wolverine-Hoosier Athletic Conference,NAIA
Clemson University,"Clemson, South Carolina",Public,Atlantic Coast Conference,NCAA D1
Cleveland Community College,"Shelby, North Carolina",Public,REG10N,JC
Cleveland State Community College,"Cleveland, Tennessee",Public,TCCAA,JC
Cloud County Community College,"Concordia, Kansas",Public,KJCCC,JC
Coahoma Community College,"Clarksdale, Mississippi",Public,MACCC,JC
Coalinga College,"Coalinga, California",Public,Central Valley Conf,JC
Coastal Alabama Community College – Bay Minette (South),"Bay Minette, Alabama",Public,Alabama Community College Conference,JC
Coastal Alabama Community College – Brewton,"Brewton, Alabama",Public,Alabama Community College Conference,JC
Coastal Bend College,"Beeville, Texas",Public,Region 14,JC
Coastal Carolina University,"Conway, South Carolina",Public,Sun Belt Conference,NCAA D1
Cochise College,"Sierra Vista, Arizona",Public,ACCAC,JC
Coe College,"Cedar Rapids, Iowa",Private,American Rivers Conference,NCAA D3
Coffeyville Community College,"Coffeyville, Kansas",Public,KJCCC,JC
Coker University,"Hartsville, South Carolina",Private,South Atlantic Conference,NCAA D2
Colby College,"Waterville, Maine",Private,New England Small College Athletic Conference,NCAA D3
Colby Community College,"Colby, Kansas",Public,KJCCC,JC
Colby-Sawyer College,"New London, New Hampshire",Private,North Atlantic Conference,NCAA D3
College of Central Florida,"Ocala, Florida",Public,Mid-Florida Conference,JC
College of Charleston,"Charleston, South Carolina",Public,Colonial Athletic Association,NCAA D1
College of DuPage,"Glen Ellyn, Illinois",Public,NCCCC,JC
College of Lake County,"Grayslake, Illinois",Public,Illinois Skyway Collegiate Conference,JC
College of Marin,"Kentfield, California",Public,Bay Valley,JC
College of Southern Idaho,"Twin Falls, Idaho",Public,Scenic West Athletic Conference,JC
College of Southern Maryland,"La Plata, Maryland",Public,MD JUCO,JC
College of Southern Nevada,"Las Vegas, Nevada",Public,Scenic West Athletic Conference,JC
College of the Canyons,"Santa Clarita, California",Public,Western States Conference,JC
College of the Desert,"Palm Desert, California",Public,IEAC,JC
College of the Holy Cross,"Worcester, Massachusetts",Private,Patriot League,NCAA D1
College of the Redwoods,"Eureka, California",Public,Golden Valley Conference,JC
College of the Sequoias,"Visalia, California",Public,Central Valley Conference,JC
College of the Siskiyous,"Weed, California",Public,Golden Valley Conference,JC
College of Wooster,"Wooster, Ohio",Private,North Coast Athletic Conference,NCAA D3
Colorado Christian University,"Lakewood, Colorado",Private,Rocky Mountain Athletic Conference,NCAA D2
Colorado Mesa University,"Grand Junction, Colorado",Public,Rocky Mountain Athletic Conference,NCAA D2
Colorado Northwestern Community College,"Rangely, Colorado",Public,Scenic West Athletic Conference,JC
Colorado School of Mines,"Golden, Colorado",Public,Rocky Mountain Athletic Conference,NCAA D2
Colorado State University – Pueblo,"Pueblo, Colorado",Public,Rocky Mountain Athletic Conference,NCAA D2
Columbia Basin College,"Pasco, Washington",Public,Northwest Athletic Conference,JC
Columbia College – Missouri,"Columbia, Missouri",Private,American Midwest Conference,NAIA
Columbia State Community College,"Columbia, Tennessee",Public,TCCAA,JC
Columbia University,"New York, New York",Private,Ivy League,NCAA D1
Columbia-Greene Community College,"Hudson, New York",Public,Mountain Valley Conference,JC
Columbus State University,"Columbus, Georgia",Public,Peach Belt Conference,NCAA D2
Community College of Allegheny County,"Pittsburgh, Pennsylvania",Public,Region 20,JC
Community College of Rhode Island,"Warwick, Rhode Island",Public,Region 21,JC
Concord University,"Athens, West Virginia",Public,Mountain East Conference,NCAA D2
Concordia College – Minnesota,"Moorhead, Minnesota",Private,Minnesota Intercollegiate Athletic Conference,NCAA D3
Concordia University – Chicago,"River Forest, Illinois",Private,Northern Athletics Collegiate Conference,NCAA D3
Concordia University – Irvine,"Irvine, California",Private,Pacific West Conference,NCAA D2
Concordia University – Nebraska,"Seward, Nebraska",Private,Great Plains Athletic Conference,NAIA
Concordia University – Texas,"Austin, Texas",Private,American Southwest Conference,NCAA D3
Concordia University Wisconsin,"Mequon, Wisconsin",Private,Northern Athletics Collegiate Conference,NCAA D3
"Concordia University, St. Paul – Minnesota","Saint Paul, Minnesota",Private,Northern Sun Intercollegiate Conference,NCAA D2
Connors State College,"Warner, Oklahoma",Public,OCAC,JC
